Sandwiches/ Salads,258
Latin,880
Middle Eastern,170
Jewish/Kosher,323
Indian,327
Sandwiches,438
Caribbean,651
Korean,261
Pizza,1169
Japanese,788
Pizza/Italian,459
Coffee/Tea,1365
Ice Cream/ Gelato,313
Bagels/ Pretzels,166
French,359
Mediterranean,234
Juice/ Smoothies,319
Donuts,499
Thai,293
Vegetarian,104
Seafood,165
Hamburgers,431
Spanish,606
Greek,123
Bakery,718
Italian,1045
Irish,190
Mexican,814
Chinese,2395
Delicatessen,306
Tex-Mex,149
American,6077
Other,183
Asian,360
Chicken,442
Less than a 100 restaurants, 1481